"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"104","FBgn0031449",920.63439812227,-0.830487412052206,0.103691330713278,8.13991443269021e-17,1.27827373251473e-14
"105","FBgn0031461",546.964664368397,0.576563791717778,0.134371924859196,1.9817064778635e-06,6.04166410815308e-05
"106","FBgn0031516",871.056180824024,0.683583536309422,0.133880949611481,3.11818237502453e-08,1.39530279071662e-06
"107","FBgn0031547",265.290557954539,-1.30450152808811,0.246853183449994,6.48787789173081e-09,3.29259803005339e-07
"108","FBgn0031548",53.6658415712637,-1.81752129500717,0.335018631481892,3.19864373940263e-09,1.70655845147744e-07
"109","FBgn0031689",274.174367875674,0.907722021674611,0.16108076554454,1.37826462945304e-09,7.91123897306047e-08
"110","FBgn0031703",90.8211171043253,-1.76343423525526,0.279007295204645,1.3150616261837e-11,1.03257150138933e-09
"111","FBgn0031805",3108.92136889079,-0.798556980213199,0.16499287264732,8.79362901291252e-08,3.58771442521916e-06
"112","FBgn0031888",2725.95825186697,0.426843913530666,0.0966593588349722,1.82774058447272e-06,5.65512449240389e-05
"113","FBgn0031912",1318.33887038031,-1.03819762057775,0.14399005539291,3.08373850597716e-14,3.51588432674629e-12
"114","FBgn0031913",953.67044458264,-0.676507429432839,0.155182587706802,1.0185295370887e-06,3.28574470433692e-05
"115","FBgn0032004",961.594774571443,-1.14300189352018,0.163680461652524,1.65211019816755e-13,1.74057128852513e-11
"116","FBgn0032029",339.990503738381,-0.890926317264074,0.15205858057946,3.02663856911213e-10,1.89403855719701e-08
"117","FBgn0032036",7558.94439960382,-0.531275337244494,0.10230345105811,2.55193973417628e-08,1.1543366525842e-06
"118","FBgn0032405",79.6140619600449,2.62945791990843,0.241607686163369,7.44761729768827e-29,2.95173898898378e-26
"119","FBgn0032451",584.687745012542,0.697118776215142,0.16529503934207,2.15270857672861e-06,6.49166430583776e-05
"120","FBgn0032598",315.321279016528,1.05169583324141,0.143666563578144,1.59919388269561e-14,1.95736627730522e-12
"121","FBgn0032635",610.767742344328,0.567696130289375,0.110951995083987,3.65078605046348e-08,1.61624959031955e-06
"122","FBgn0032638",131.937964525685,-1.35560175774352,0.245146715609938,1.8407466260627e-09,1.03517122761621e-07
